0 74 1
1 109 1
2 96 1
3 108 1
4 96 1
5 98 1
6 114 1
7 96 1
8 101 1
9 103 1
10 98 1
11 93 1
12 106 1
13 111 1
14 109 1
15 84 1
16 105 1
17 97 1
18 104 1
19 85 1
20 109 1
21 90 1
22 77 1
23 95 1
24 88 1
25 102 1
26 103 1
27 106 1
28 119 1
29 98 1
30 114 1
31 109 1
32 92 1
33 108 1
34 106 1
35 105 1
36 113 1
37 102 1
38 97 1
39 117 1
40 112 1
41 96 1
42 109 1
43 106 1
44 85 1
45 113 1
46 99 1
47 96 1
48 110 1
49 95 1
50 111 1
51 90 1
52 85 1
53 92 1
54 74 1
55 119 1
56 109 1
57 93 1
58 103 1
59 112 1
60 101 1
61 96 1
62 89 1
63 92 1
64 91 1
65 104 1
66 96 1
67 113 1
68 95 1
69 100 1
70 101 1
71 88 1
72 111 1
73 111 1
74 93 1
75 100 1
76 84 1
77 93 1
78 102 1
79 119 1
80 105 1
81 97 1
82 107 1
83 92 1
84 101 1
85 108 1
86 115 1
87 112 1
88 100 1
89 108 1
90 111 1
91 97 1
92 99 1
93 103 1
94 92 1
95 97 1
96 96 1
97 112 1
98 110 1
99 94 1
100 113 1
101 107 1
102 113 1
103 99 1
104 106 1
105 91 1
106 90 1
107 96 1
108 116 1
109 90 1
110 105 1
111 94 1
112 99 1
113 89 1
114 102 1
115 99 1
116 109 1
117 100 1
118 103 1
119 100 1
120 100 1
121 93 1
122 93 1
123 96 1
124 113 1
125 110 1
126 97 1
127 105 1
128 105 1
129 100 1
130 78 1
131 101 1
132 100 1
133 81 1
134 85 1
135 95 1
136 95 1
137 82 1
138 114 1
139 106 1
140 119 1
141 103 1
142 93 1
143 86 1
144 111 1
145 93 1
146 98 1
147 99 1
148 111 1
149 103 1
150 105 1
151 100 1
152 84 1
153 87 1
154 88 1
155 98 1
156 97 1
157 110 1
158 82 1
159 94 1
160 100 1
161 90 1
162 100 1
163 90 1
164 93 1
165 105 1
166 107 1
167 102 1
168 117 1
169 96 1
170 76 1
171 99 1
172 115 1
173 96 1
174 100 1
175 106 1
176 95 1
177 97 1
178 102 1
179 113 1
180 105 1
181 90 1
182 103 1
183 93 1
184 109 1
185 108 1
186 104 1
187 105 1
188 84 1
189 100 1
190 98 1
191 96 1
192 103 1
193 106 1
194 91 1
195 93 1
196 98 1
197 90 1
198 102 1
199 101 1
200 107 1
201 115 1
202 107 1
203 103 1
204 104 1
205 106 1
206 119 1
207 96 1
208 90 1
209 103 1
210 104 1
211 92 1
212 87 1
213 100 1
214 124 1
215 90 1
216 95 1
217 104 1
218 97 1
219 107 1
220 101 1
221 113 1
222 94 1
223 99 1
224 103 1
225 97 1
226 88 1
227 100 1
228 111 1
229 97 1
230 95 1
231 94 1
232 99 1
233 96 1
234 102 1
235 97 1
236 89 1
237 110 1
238 103 1
239 102 1
240 102 1
241 102 1
242 86 1
243 96 1
244 108 1
245 112 1
246 101 1
247 89 1
248 87 1
249 97 1
